Date,Hour,Minute,Lux,Float time value,Label
02/04/2023,20,50,223.85,20.83,1
03/04/2023,20,50,12.56,20.83,1
04/04/2023,20,50,62.12,20.83,1
05/04/2023,20,50,557.56,20.83,1
06/04/2023,20,50,36.45,20.83,1
07/04/2023,20,50,325.38,20.83,1
08/04/2023,20,50,105.19,20.83,1
02/04/2023,20,40,324.94,20.67,1
03/04/2023,20,40,27.35,20.67,1
04/04/2023,20,40,133,20.67,1
05/04/2023,20,40,539.76,20.67,1
06/04/2023,20,40,58.56,20.67,1
07/04/2023,20,40,429.31,20.67,1
08/04/2023,20,40,213.8,20.67,1
02/04/2023,20,30,337.21,20.5,1
03/04/2023,20,30,72.54,20.5,1
04/04/2023,20,30,123.22,20.5,1
05/04/2023,20,30,551.86,20.5,1
06/04/2023,20,30,102.56,20.5,1
07/04/2023,20,30,442.47,20.5,1
08/04/2023,20,30,432.19,20.5,1
02/04/2023,20,20,287.4,20.33,1
03/04/2023,20,20,105.56,20.33,1
04/04/2023,20,20,234.78,20.33,1
05/04/2023,20,20,560.45,20.33,1
06/04/2023,20,20,120.56,20.33,1
07/04/2023,20,20,559.33,20.33,1
08/04/2023,20,20,575.8,20.33,1
02/04/2023,20,10,318.65,20.17,1
03/04/2023,20,10,125.09,20.17,1
04/04/2023,20,10,419.65,20.17,1
05/04/2023,20,10,778.45,20.17,1
06/04/2023,20,10,120.76,20.17,1
07/04/2023,20,10,779.27,20.17,1
08/04/2023,20,10,799.25,20.17,1
02/04/2023,20,0,542.78,20,1
03/04/2023,20,0,198.56,20,1
04/04/2023,20,0,413.32,20,1
05/04/2023,20,0,890.44,20,1
06/04/2023,20,0,243.87,20,1
07/04/2023,20,0,892.46,20,1
08/04/2023,20,0,1107.98,20,1
02/04/2023,19,50,656.29,19.83,1
03/04/2023,19,50,200.61,19.83,1
04/04/2023,19,50,518.12,19.83,1
05/04/2023,19,50,900.65,19.83,1
06/04/2023,19,50,345.27,19.83,1
07/04/2023,19,50,902.46,19.83,1
08/04/2023,19,50,1228.57,19.83,1
02/04/2023,19,40,789.67,19.67,1
03/04/2023,19,40,345.18,19.67,1
04/04/2023,19,40,628.54,19.67,1
05/04/2023,19,40,930.86,19.67,1
06/04/2023,19,40,453.98,19.67,1
07/04/2023,19,40,1149.27,19.67,1
08/04/2023,19,40,1616.1,19.67,1
02/04/2023,19,30,842.91,19.5,1
03/04/2023,19,30,456.65,19.5,1
04/04/2023,19,30,791.76,19.5,1
05/04/2023,19,30,1030.51,19.5,1
06/04/2023,19,30,627.36,19.5,1
07/04/2023,19,30,1363.92,19.5,1
08/04/2023,19,30,1748.65,19.5,1
02/04/2023,19,20,952.51,19.33,1
03/04/2023,19,20,748.76,19.33,1
04/04/2023,19,20,994.98,19.33,1
05/04/2023,19,20,1236.4,19.33,1
06/04/2023,19,20,726.36,19.33,1
07/04/2023,19,20,1693.72,19.33,1
08/04/2023,19,20,1998.16,19.33,1
02/04/2023,19,10,1271.77,19.17,1
03/04/2023,19,10,1023.1,19.17,1
04/04/2023,19,10,1338.67,19.17,1
05/04/2023,19,10,1540.34,19.17,1
06/04/2023,19,10,900.25,19.17,1
07/04/2023,19,10,1939.71,19.17,1
08/04/2023,19,10,2019.09,19.17,1
02/04/2023,19,0,2100.51,19,1
03/04/2023,19,0,1129.87,19,1
04/04/2023,19,0,1531.01,19,1
05/04/2023,19,0,1741.65,19,1
06/04/2023,19,0,1103.35,19,1
07/04/2023,19,0,2276.3,19,1
08/04/2023,19,0,28.91,19,1
02/04/2023,18,50,2321.01,18.83,1
03/04/2023,18,50,1345.37,18.83,1
04/04/2023,18,50,1690.4,18.83,1
05/04/2023,18,50,1939.34,18.83,1
06/04/2023,18,50,1198.26,18.83,1
07/04/2023,18,50,2299.3,18.83,1
08/04/2023,18,50,2346.87,18.83,1
02/04/2023,18,40,2443.26,18.67,1
03/04/2023,18,40,1399.49,18.67,1
04/04/2023,18,40,1992.11,18.67,1
05/04/2023,18,40,2840.67,18.67,1
06/04/2023,18,40,1219.09,18.67,1
07/04/2023,18,40,2329.01,18.67,1
08/04/2023,18,40,2352.06,18.67,1
02/04/2023,18,30,2660.91,18.5,1
03/04/2023,18,30,1409.42,18.5,1
04/04/2023,18,30,2107.89,18.5,1
05/04/2023,18,30,2947.25,18.5,1
06/04/2023,18,30,1405.35,18.5,1
07/04/2023,18,30,2567.1,18.5,1
08/04/2023,18,30,2367.81,18.5,1
02/04/2023,18,20,2705.58,18.33,1
03/04/2023,18,20,1428.43,18.33,1
04/04/2023,18,20,2198.34,18.33,1
05/04/2023,18,20,3745.73,18.33,1
06/04/2023,18,20,1603.26,18.33,1
07/04/2023,18,20,2910.03,18.33,1
08/04/2023,18,20,2391.56,18.33,1
02/04/2023,18,10,2983.9,18.17,1
03/04/2023,18,10,1523.57,18.17,1
04/04/2023,18,10,2608.45,18.17,1
05/04/2023,18,10,3757.45,18.17,1
06/04/2023,18,10,1725.35,18.17,1
07/04/2023,18,10,3468.2,18.17,1
08/04/2023,18,10,2438.87,18.17,1
02/04/2023,18,0,3430.54,18,1
03/04/2023,18,0,1602.4,18,1
04/04/2023,18,0,2990.31,18,1
05/04/2023,18,0,4000.65,18,1
06/04/2023,18,0,1846.36,18,1
07/04/2023,18,0,3478.37,18,1
08/04/2023,18,0,2467.98,18,1
02/04/2023,17,50,3060.14,17.83,1
03/04/2023,17,50,1700.27,17.83,1
04/04/2023,17,50,2901.89,17.83,1
05/04/2023,17,50,4112.9,17.83,1
06/04/2023,17,50,1900.36,17.83,1
07/04/2023,17,50,3536.82,17.83,1
08/04/2023,17,50,2503.29,17.83,1
02/04/2023,17,40,3901.13,17.67,1
03/04/2023,17,40,1739.37,17.67,1
04/04/2023,17,40,3372.09,17.67,1
05/04/2023,17,40,4244,17.67,1
06/04/2023,17,40,1935.45,17.67,1
07/04/2023,17,40,3546.36,17.67,1
08/04/2023,17,40,3451.01,17.67,1
02/04/2023,17,30,4929.54,17.5,1
03/04/2023,17,30,1847.2,17.5,1
04/04/2023,17,30,3446.76,17.5,1
05/04/2023,17,30,4276.03,17.5,1
06/04/2023,17,30,2167.53,17.5,1
07/04/2023,17,30,3501,17.5,1
08/04/2023,17,30,3620.21,17.5,1
02/04/2023,17,20,5701.45,17.33,1
03/04/2023,17,20,2000.37,17.33,1
04/04/2023,17,20,3845.98,17.33,1
05/04/2023,17,20,4321.89,17.33,1
06/04/2023,17,20,2364.62,17.33,1
07/04/2023,17,20,3549.37,17.33,1
08/04/2023,17,20,2647.92,17.33,1
02/04/2023,17,10,6020.56,17.17,1
03/04/2023,17,10,2445,17.17,1
04/04/2023,17,10,3947.65,17.17,1
05/04/2023,17,10,4367.34,17.17,1
06/04/2023,17,10,2895.27,17.17,1
07/04/2023,17,10,3567.37,17.17,1
08/04/2023,17,10,3704.42,17.17,1
02/04/2023,17,0,6559.43,17,1
03/04/2023,17,0,3145.39,17,1
04/04/2023,17,0,4549.06,17,1
05/04/2023,17,0,4981.09,17,1
06/04/2023,17,0,3004.24,17,1
07/04/2023,17,0,3589.06,17,1
08/04/2023,17,0,3720.09,17,1
02/04/2023,16,50,6930.62,16.83,1
03/04/2023,16,50,3229.37,16.83,1
04/04/2023,16,50,3987.98,16.83,1
05/04/2023,16,50,5047.34,16.83,1
06/04/2023,16,50,3198.65,16.83,1
07/04/2023,16,50,3699.46,16.83,1
08/04/2023,16,50,3758.65,16.83,1
02/04/2023,16,40,7307.87,16.67,1
03/04/2023,16,40,3289.47,16.67,1
04/04/2023,16,40,3602.12,16.67,1
05/04/2023,16,40,4940.78,16.67,1
06/04/2023,16,40,3333.98,16.67,1
07/04/2023,16,40,3673.47,16.67,1
08/04/2023,16,40,3809.76,16.67,1
02/04/2023,16,30,7691.43,16.5,1
03/04/2023,16,30,3348.38,16.5,1
04/04/2023,16,30,4145.36,16.5,1
05/04/2023,16,30,5032.18,16.5,1
06/04/2023,16,30,3243.25,16.5,1
07/04/2023,16,30,3636.47,16.5,1
08/04/2023,16,30,3834.76,16.5,1
02/04/2023,16,20,7759.54,16.33,1
03/04/2023,16,20,3487.34,16.33,1
04/04/2023,16,20,4100.23,16.33,1
05/04/2023,16,20,5198.99,16.33,1
